IPO Date,Symbol,Company Name,IPO Price,Current,Return
11-Feb-22,RACY,Relativity Acquisition Corp.,$10.00 ,$12.28 ,22.80%
11-Feb-22,DRCT,"Direct Digital Holdings, Inc.",$5.50 ,$3.11 ,-43.45%
11-Feb-22,TCBP,TC Biopharm (Holdings) Plc,$4.25 ,$0.61 ,-85.56%
15-Feb-22,GENQ,Genesis Unicorn Capital Corp.,$10.00 ,$10.72 ,7.20%
15-Feb-22,ASCA,A SPAC I Acquisition Corp.,$10.00 ,$10.55 ,5.50%
16-Feb-22,FTII,FutureTech II Acquisition Corp.,$10.00 ,$10.69 ,6.90%
16-Feb-22,AXAC,AXIOS Sustainable Growth Acquisition Corporation,$10.00 ,$10.43 ,4.30%
16-Feb-22,MHUA,"Meihua International Medical Technologies Co., Ltd.",$10.00 ,$2.79 ,-72.10%
16-Feb-22,SMFL,"Smart for Life, Inc.",$10.00 ,$0.87 ,-91.30%
18-Feb-22,PWUP,PowerUp Acquisition Corp.,$10.00 ,$10.42 ,4.20%
18-Feb-22,BWV,"Blue Water Vaccines, Inc.",$9.00 ,$1.28 ,-85.78%
24-Feb-22,CLIN,Clean Earth Acquisitions Corp.,$10.00 ,$10.43 ,4.30%
25-Feb-22,GSRM,GSR II Meteora Acquisition Corp.,$10.00 ,$6.95 ,-30.55%
25-Feb-22,FGMC,FG Merger Corp.,$10.00 ,$10.57 ,5.70%
1-Mar-22,VMCA,Valuence Merger Corp. I,$10.00 ,$10.71 ,7.10%
2-Mar-22,SPCM,"Sound Point Acquisition Corp I, Ltd",$10.00 ,$10.62 ,6.20%
2-Mar-22,SHUA,SHUAA Partners Acquisition Corp I,$10.00 ,$10.72 ,7.20%
2-Mar-22,KCAC,Kensington Capital Acquisition Corp. IV,$10.00 ,$9.21 ,-7.90%
9-Mar-22,LBBB,Lakeshore Acquisition II Corp.,$10.00 ,$10.59 ,5.90%
10-Mar-22,PLAO,Patria Latin American Opportunity Acquisition Corp.,$10.00 ,$10.73 ,7.35%
11-Mar-22,NUBI,Nubia Brand International Corp.,$10.00 ,$10.60 ,6.00%
15-Mar-22,AKAN,Akanda Corp.,$4.00 ,$0.75 ,-81.14%
17-Mar-22,GDST,Goldenstone Acquisition Limited,$10.00 ,$10.55 ,5.50%
24-Mar-22,RFAC,RF Acquisition Corp.,$10.00 ,$10.48 ,4.80%
25-Mar-22,ANTX,"AN2 Therapeutics, Inc.",$15.00 ,$7.45 ,-50.33%
25-Mar-22,LCFY,Locafy Limited,$4.13 ,$6.84 ,65.62%
31-Mar-22,RWOD,Redwoods Acquisition Corp.,$10.00 ,$10.46 ,4.60%
31-Mar-22,RVSN,Rail Vision Ltd.,$4.13 ,$0.58 ,-85.96%
1-Apr-22,MSSA,Metal Sky Star Acquisition Corporation,$10.00 ,$10.70 ,7.00%
1-Apr-22,XPON,Expion360 Inc.,$7.00 ,$4.92 ,-29.71%
7-Apr-22,DECA,Denali Capital Acquisition Corp.,$10.00 ,$10.69 ,6.90%
